SEC_NEIGH,PRI_NEIGH,SHAPE_AREA,SHAPE_LEN
BRONZEVILLE,Grand Boulevard,48492503.1554000005126,28196.837157000001753
PRINTERS ROW,Printers Row,2162137.971390000078827,6864.247156000000359
UNITED CENTER,United Center,32520512.705299999564886,23101.363744999998744
SHEFFIELD & DEPAUL,Sheffield & DePaul,10482592.29869999922812,13227.049745000000257
HUMBOLDT PARK,Humboldt Park,125010425.592999994754791,46126.751350999998976
GARFIELD PARK,Garfield Park,89976069.594699993729591,44460.919220000003406
NORTH LAWNDALE,North Lawndale,89487422.024399995803833,44959.459663000001456
LITTLE VILLAGE,Little Village,127998297.819000005722046,49904.040029999996477
"ARMOUR SQUARE,CHINATOWN",Armour Square,17141468.635600000619888,24359.189624999999069
"AVALON PARK,CALUMET HEIGHTS",Avalon Park,34852737.736599996685982,27630.822533999998996
"CHATHAM,BURNSIDE",Burnside,16995983.273699998855591,18137.944253000001481
"BELMONT CRAIGIN,HERMOSA",Hermosa,32602059.405499998480082,27179.017437999998947
"IRVING PARK,AVONDALE",Avondale,55290595.48200000077486,34261.933404000003065
"AVALON PARK,CALUMET HEIGHTS",Calumet Heights,48826241.564300000667572,32925.365871000001789
BACK OF THE YARDS,New City,134636963.254000008106232,48133.595960999999079
ENGLEWOOD,Englewood,173600015.00900000333786,56144.046047999996517
"SOUTH SHORE, GRAND CROSSING",Grand Crossing,98853167.709299996495247,54645.330300000001444
ASHBURN,Ashburn,135460337.208000004291534,54818.154631999997946
"MOUNT GREENWOOD,MORGAN PARK",Mount Greenwood,75584290.020899996161461,48665.130538999997952
"MOUNT GREENWOOD,MORGAN PARK",Morgan Park,91877340.69879999756813,46396.419362000000547
OHARE,O'Hare,371835607.686999976634979,173625.984659999987343
JACKSON PARK,Jackson Park,23545658.777199998497963,32779.730779999998049
LOOP,Loop,31485185.031800001859665,52640.907563000000664
PULLMAN,Pullman,59001555.601999998092651,35572.069508000000496
RIVERDALE,Riverdale,98389497.414299994707108,46455.440857000001415
SOUTHEAST SIDE,Hegewisch,145965741.437000006437302,73692.382131999998819
GREEKTOWN,Greektown,1650645.841890000039712,6099.310645999999906
MUSEUM CAMPUS,Museum Campus,15517071.163100000470877,35127.151983999996446
BRONZEVILLE,Douglas,46004621.137000001966953,31027.053671000001486
EDGEWATER,Edgewater,38865397.671800002455711,31012.834159999998519
LAKE VIEW,Lake View,76561177.25620000064373,69715.293130000005476
LINCOLN PARK,Lincoln Park,67401451.371700003743172,61856.516472000002977
STREETERVILLE,Magnificent Mile,882405.086159999947995,9154.567114999999831
LINCOLN SQUARE,Lincoln Square,71352328.23989999294281,36624.603085000002466
"OAKLAND,KENWOOD",Oakland,16913961.040800001472235,19565.506152999998449
GRANT PARK,Grant Park,8974786.196350000798702,13171.698066999999355
WEST LOOP,West Loop,52945063.896700002253056,43907.671821000003547
BACK OF THE YARDS,Fuller Park,19916704.869199998676777,25339.089749999999185
ANDERSONVILLE,Andersonville,9584592.899059999734163,12534.092624999999316
WOODLAWN,Woodlawn,40515739.082999996840954,28960.05903699999908
PORTAGE PARK,Portage Park,110196097.138999998569489,46520.642138000002888
RUSH & DIVISION,Rush & Division,3489575.801599999889731,8503.033133000000817
LOGAN SQUARE,Logan Square,71256806.55179999768734,36361.508518000002368
"LITTLE ITALY, UIC","Little Italy, UIC",71376244.122500002384186,36568.464289000003191
"KENWOOD,OAKLAND",Kenwood,29071741.928300000727177,23325.167905999998766
ROGERS PARK,Rogers Park,51259902.450599998235703,34052.397576000003028
JEFFERSON PARK,Jefferson Park,64868161.681900002062321,44011.957170000001497
"SAUGANASH,FOREST GLEN","Sauganash,Forest Glen",89130893.636399999260902,74493.821603999997023
"NORTH PARK,ALBANY PARK",North Park,70288706.434300005435944,41581.948653999999806
"NORTH PARK,ALBANY PARK",Albany Park,53542230.818999998271465,39339.016438999999082
"IRVING PARK,AVONDALE",Irving Park,89611382.310599997639656,49083.224093999997422
DUNNING,Dunning,103595001.174999997019768,54555.992533999997249
WEST RIDGE,West Ridge,98429094.862100005149841,43020.689458000000741
UPTOWN,Uptown,65095642.836000002920628,46972.790181999997003
NORWOOD PARK,Norwood Park,121959105.469999998807907,80368.374377999993158
STREETERVILLE,Streeterville,17894338.815099999308586,40084.161470999999437
"SOUTH SHORE, GRAND CROSSING",South Shore,81812716.390400007367134,44249.64517799999885
"CHATHAM,BURNSIDE",Chatham,82320670.311199992895126,42006.945009000002756
SOUTH CHICAGO,South Chicago,93272185.009200006723404,52435.979430999999749
"WASHINGTON HEIGHTS,ROSELAND",Roseland,134313706.729999989271164,56632.795428999997966
NORTH CENTER,North Center,57054167.850000001490116,31391.669753999998647
SOUTHEAST SIDE,South Deering,303797059.660000026226044,80389.871799999993527
SOUTHEAST SIDE,East Side,83241728.049300000071526,52274.192848999999114
WEST PULLMAN,West Pullman,99365198.08220000565052,50023.843001000001095
MIDWAY AIRPORT,Garfield Ridge,117890778.429000005125999,60080.447970000001078
WASHINGTON PARK,Washington Park,42373881.484200000762939,28175.316086999999243
MILLENIUM PARK,Millenium Park,2775228.379269999917597,7567.385580000000118
NEAR SOUTH SIDE,Near South Side,34252582.700300000607967,26884.589203999999881
"ARMOUR SQUARE,CHINATOWN",Chinatown,10624727.460500000044703,14452.766256999999314
"MARQUETTE PARK,GAGE PARK",Chicago Lawn,98279465.115099996328354,40073.09983800000191
AUBURN GRESHAM,Auburn Gresham,105065353.601999998092651,46757.721716000000015
BEVERLY,Beverly,88779363.938400000333786,44591.485100999998394
"WASHINGTON HEIGHTS,ROSELAND",Washington Heights,79635752.876900002360344,42222.598163000002387
EDISON PARK,Edison Park,31636313.786400001496077,25937.226840999999695
HYDE PARK,Hyde Park,38859161.843699999153614,28013.027919000000111
BUCKTOWN,Bucktown,28800760.141199998557568,26109.107609999999113
LOWER WEST SIDE,Lower West Side,81550723.823100000619888,43229.368806999998924
WRIGLEYVILLE,Wrigleyville,7287843.051880000159144,12154.650571000000127
"ARCHER HEIGHTS,WEST ELSDON",Archer Heights,55922505.721199996769428,31880.021029999999882
"BRIGHTON PARK,MCKINLEY PARK",Brighton Park,75892790.31139999628067,36537.134305999999924
"BRIGHTON PARK,MCKINLEY PARK",Mckinley Park,39431799.647900000214577,26014.09683700000096
UKRAINIAN VILLAGE AND EAST VILLAGE,East Village,7050048.4688799995929,10620.662883999999394
"WICKER PARK,WEST TOWN",West Town,58507728.421099998056889,46673.620545999998285
BRIDGEPORT,Bridgeport,58291519.276000000536442,32732.718326999998681
"ARCHER HEIGHTS,WEST ELSDON",West Elsdon,32711091.425900001078844,26229.695600999999442
"MARQUETTE PARK,GAGE PARK",Gage Park,61284896.113200001418591,32294.195910999998887
MIDWAY AIRPORT,Clearing,71145192.382699996232986,45363.286175000001094
WEST LAWN,West Lawn,82315301.683100000023842,41934.490130999998655
"WICKER PARK,WEST TOWN",Wicker Park,26853193.092599999159575,21992.660945999999967
UKRAINIAN VILLAGE AND EAST VILLAGE,Ukrainian Village,10622385.577600000426173,13311.469795999999405
"MONTCLARE, GALEWOOD",Galewood,29257505.719999998807907,25124.770455000001675
"MONTCLARE, GALEWOOD",Montclare,27535347.858600001782179,22829.533626000000368
OLD TOWN,Old Town,19847998.961100000888109,17905.728675999998813
"BELMONT CRAGIN,HERMOSA",Belmont Cragin,109099407.210999995470047,43311.70688599999994
AUSTIN,Austin,170037750.82600000500679,55473.345910999996704
GOLD COAST,Gold Coast,7165705.534669999964535,13685.479376999999658
BOYSTOWN,Boystown,3365778.971150000113994,9780.268985000000612
RIVER NORTH,River North,38766442.519400000572205,31506.037810000001627
